freq,temp,b_pk,b_pp_half,waveform,b_form,crest_dB,duty_pos,purity,p_ml,p_se,in_dist,nn_dist,g4_ok,g5_ok,gate_pass
49960.0,90.0,0.800640512409928,0.8005994385609446,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,397210.8879289268,2513847.795493274,False,13.43080907128277,False,False,False
51951.12678171542,90.0,0.7699544259755746,0.7699149263607957,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,441428.8977771137,2492295.1927951938,False,12.694331385851228,False,False,False
54021.60876480931,90.0,0.7404444427811404,0.7404064570650145,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,441428.8977771137,2470927.372439105,False,11.986895149796025,False,False,False
56174.608604740504,90.0,0.7120654864095386,0.7120289565689901,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,441428.8977771137,2449742.750184136,False,11.307469704778786,False,False,False
58413.41500276461,90.0,0.6847742080839969,0.6847390783197962,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,445831.2323718652,2428739.755372001,False,10.65507561535452,False,False,False
60741.44772941513,90.0,0.658528920452933,0.6584951371044632,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,445831.2323718652,2407916.8308105343,False,10.028784846281216,False,False,False
63162.262848194354,90.0,0.6332895339126295,0.6332570453759199,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,630937.0651606064,2387272.4326582123,False,9.427721404502709,False,False,False
65679.55814744948,90.0,0.6090174953704878,0.608986252019389,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,630937.0651606064,2366805.0303097474,False,8.85106254857969,False,False,False
68297.17878873505,90.0,0.5856757293552748,0.5856456834656554,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,630937.0651606064,2346513.1062825434,False,8.298040699040124,False,False,False
71019.12318028537,90.0,0.5632285813844551,0.5631996870613022,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,630937.0651606064,2326395.156104242,False,7.76794622334885,False,False,False
